buyer_address,buyer_shares,buyer_uint_term
0xb4b33621B7f5dEa60F32b0C61Dca70ca9a2D86e6,83,36298408
0x9FB0C66dDF23d3FC27D51292BED4FE5976141ecD,80,7776000
0x53c7d1EaF3d298759F5C7A3d15421B2565e34f3F,83,7776000
0x6Ada1274d9C79833e5E5Cf9a5BD3C7D46d30b4ed,220,31096143
0x18956cE19f51897d1cc6CdF744B9674123eADfb6,75,7776000
0xA11C43F45704EF8446D977CE7882D1AE96388DF5,78,7775999
0x828E6FdA8A4975Ad8F4b73f4e764b1Bc8F123c50,150,126144000
0x34d86E65e26adE3b647C59bef25ee72B7588F016,159,126144000
0xD665ea9B2658821821568D95875Ad3E80000dEad,95,7776000
0x0f8b1B3c630E822BA244500a01c6bF51E0eF90bB,957,4774025
0xa68C26047AdfD7Ab4fBB6E2624238Fd8DbAA35c3,280,5698696
0xD003C9f640c1bbB3CDf00EFC43a274D08c18Be58,80,7776000
0xBcd762ABb0d2af275320597e93243BB1bC5cf656,157,126144000
0xfDa7c88302C0F18040BA14395278e31dA7f0a70D,318,82381584
0xF9C4c47d27DB82e824BCd41A51826a4D67d0F54e,100,7776000
0x6c8a6a4f8BbeA5623e8c308507D1899fF31724CB,100,7776000
0x32F5366D8163105362A4035f49dF264Df48a5350,100,7776000
0xb12bef7b37278a6Adcdf200b7714b9efA6D19C19,28730,17348263
0xdF97EAbBAC2faeEa354A11825e9AbD6e2de1713f,99,7776000
0x45234a781a9fD48570Fe41764a108D9Fb79629f6,172,126144000
0xA797f487A6789cFac569cC707d685321A3FaBF33,90,7776000
0xb48816C363f80024fa1e75aD3028Af64d5dB224D,100,7776000
0x7FFd93d70067AdF71E4F43caa4997d2690c1AFbE,174,111177928
0x80a44405fE5f3CFa328Be7a281f92Dda8c9DF098,147,99571590
0x9aBf76DF6b1B6fB7371E206E18e7B8A887D6a25C,201,126144000
0x8B16e97ae8A322d56d619022443492dF4aeAa7Cd,200,126144000
0x3076CD642C9361392eceE113D6796Ed0f3a5d8cf,100,7776000
0x16025aA77566E275BaB40378CeFbF5Aa07F50D78,100,7776000
0x611073a49A3FD07A3DC0CD3E77CC5AFf1B916169,170,126144000
0xCd27bd2110aA5288304dA6d5c46CE7d7e308BdEe,95,7776000
0x34Ec940E7AEb71c5891a4f5c2d88136fc83Ed3A4,92,7776000
0x43b9AbD23278C0173F23dbBf50d39CC1896140dF,375,71438976
0x6E81417b312917305d12F76Fa3B6bd66FfAA75e7,180,126143999
0x30517bB8AF86F14e57a8091A9Eb974a1EF893028,178,126144000
0x568990A4583a4f77eFA69c62D36763d931398057,88,7776000
0x59Ce5456a4E4C1C142889f0FdE5605F7B553b95a,1590,23968444
0xa9f078B3b6DD6C04308f19DEF394b6D5a1B8b732,100,7776000
0x81f2E56Dba7032364B8d9d805E913e5662c027e2,200,5637599
0x89421774703570108345E3bfc3317267e2994c66,130,10168613
0x6c9F67b1aEB0510b71c0D49e08fD42Ef44eB66D2,498,102850697
0x8C2524e0E62c2836A85BE2D47Cbfff3f4Af4C72b,200,126144000
0x528836082e417D7b839E17a17964694266AA29a5,100,7776000
0xc47DEAD0620FB7Bc90c2fd8569f5a6FAc7b1eC85,100,7776000
0x76d2DDCe6b781e66c4B184C82Fbf4F94346Cfb0D,900,52559998
0x4dDdBdcE6d37E6F7E3c7F09570329279948c7494,100,7776000
0xAABE54dECD75F84501952A6318174CCee0362724,180,112991998
