tx_hash,trove_owner,collateral_redeemed,number_of_collateral_tokens,debt,operation,timestamp,block_number
0x82e051c7bbba85ea80fcd67c6ca2b963271ce163594696a4479735c614f88886,0x6D3B90747dbf5883bF88fF7Eb5fCC86f408b5409,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,3891058340000000000,8246000000000000000000,0,1707800336,54596670
0xd0b7001e485957bb19b2335ee81402292cc9ce2051f51ec77d3b87c956dc2444,0x329CfE850FF4CF637aa2353ef2D3672156E54d6C,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,3800496569488060707,4613930000000000000000,2,1707782657,54549209
0xd9f58d57194701453b2852ce842f98cad41178dec24de8a4b590d67984c31b5c,0xA5b5B85f0C5209998Be7aa72e17f0Ae289bc71bA,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,4178156325623385078,7040000000000000000000,0,1707770925,54515373
0xf1724233fce9cb292a1234dfb1a80c58169d286b23ae897a89ebed936d20663e,0x31DDDf4E2ac81403FA9b993CfBE4CA535a1656b5,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,110000000000000000,105500000000000000000,0,1707767635,54507751
0x1385322816f3185a8fe97da257c2be703535600a87a68156fed9d8936a7260f5,0x7f84aC1632E231582f162CED24d0B3c06A6d0118,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,99994840,80375000000000000000,0,1707727202,54403134
0xcf0ac869761569d291562f69e80f4359479128cf5de9e814390adda8327a9ace,0x8560293F8D0583118Cc1386133d307ACE5aCC8B6,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,1490051236906293464807,302687079077773992345,2,1707724415,54394345
0x8a8d0ad954aba592a3c715adf5c28ba55bc4a9dbd048012e75b73a11f6a972f3,0x329CfE850FF4CF637aa2353ef2D3672156E54d6C,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,3800496569488060707,4211930000000000000000,2,1707718387,54370143
0x8aa523a9a4d6f7e6601cec6b0a916d4b26ecc72888ef355c082e3159ab645efc,0x4C3490dF15edFa178333445ce568EC6D99b5d71c,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,66110190,55250000000000000000,0,1707714850,54355568
0xa572a0d927868b066e3f93f8ee193fe8efebfd61f81945a71e6fbbf6d1d9b206,0x4C3490dF15edFa178333445ce568EC6D99b5d71c,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,0,0,1,1707712159,54344955
0x7aac0fae0a5ecad0120d6d8fc3465f3ccf35c96031c8daeb6f530655364aa60a,0x1ceed4B97D743903CcA0A79D238327eFD78e03bd,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,0,0,1,1707534645,53869694
0x017a17b37417acecc45fedb817c224f5aafdbd1fc0bf76a0a41b3472e6e7973a,0xDe93A283495fA2834047B53871A8E4e09f96d841,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,459850085020144853,608000000000000000000,0,1707518408,53827838
0xf44f77e6ee85d17ceb8f23ef3ba91ea54178935d69b16c5592c04157cc240341,0x329CfE850FF4CF637aa2353ef2D3672156E54d6C,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,3800496569488060707,3809930000000000000000,2,1707510783,53800463
0x9ab428b0b8489cc814e3538bc8b5b9c5f454619cf2d511d83dab9d8d799aaa55,0xFE49F9193ef934f403455016A191e208dc2374E8,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,0,0,1,1707499779,53776715
0x58af097138fd985cfdab8915294c5cbb6dab730b433d768a35906a1de3eca030,0x97D37E8B619cF4C6145da456766CA4FA157292D3,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,2590171263,2216000000000000000000,2,1707472292,53724928
0xbc3bd63c00a17dd0039ef28cdbfb30e9320295d14d3f7d25f7234ef86b2cd6a8,0x329CfE850FF4CF637aa2353ef2D3672156E54d6C,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,1925441719592194930,1864250000000000000000,2,1707468083,53715591
0x79fbfd923d6d87e3e4c2396bdafaf71109dd5ee6d2cad7045c297c06f8114250,0x329CfE850FF4CF637aa2353ef2D3672156E54d6C,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,262472058744852772,256250000000000000000,0,1707459640,53700365
0xc63d276ea2d154e121cd7d1e40a3e52ef6e85cd6ec7bfdf01c8f37c93c654364,0x76fc3cdFCF1EFbb989379118705b92Ce5596dc88,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,3000000000000000000,2517500000000000000000,0,1707431131,53650533
